TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805940938837,3.3,1.8,0.0,0.0,1.5,--
63805940939843,3.3,1.9,0.0,0.0,1.5,--
63805940940842,4.2,2.7,0.0,0.1,1.5,--
63805940941846,3.3,1.8,0.0,0.0,1.5,--
63805940942858,3.4,1.9,0.0,0.0,1.5,--
63805940943863,3.3,1.9,0.0,0.0,1.5,--
63805940944881,3.5,2.0,0.0,0.0,1.5,--
63805940945895,3.2,1.7,0.0,0.0,1.5,--
63805940946898,3.3,1.9,0.0,0.0,1.5,--
63805940947910,3.3,1.8,0.0,0.0,1.5,--
63805940948936,3.2,1.7,0.0,0.0,1.5,--
63805940949932,3.4,1.9,0.0,0.0,1.5,--
63805940950933,3.3,1.8,0.0,0.0,1.5,--
63805940951939,3.4,1.9,0.0,0.0,1.5,--
63805940952961,3.2,1.7,0.0,0.0,1.5,--
63805940953973,3.3,1.8,0.0,0.0,1.5,--
63805940954985,3.6,2.1,0.0,0.0,1.5,--
63805940955985,3.3,1.9,0.0,0.0,1.5,--
63805940956998,3.7,2.2,0.0,0.0,1.5,--
63805940958003,3.2,1.8,0.0,0.0,1.5,--
63805940959010,3.2,1.7,0.0,0.0,1.5,--
63805940960020,3.4,1.9,0.0,0.0,1.5,--
63805940961034,3.4,1.9,0.0,0.0,1.5,--
63805940962043,3.4,1.9,0.0,0.0,1.5,--
63805940963052,3.4,1.9,0.0,0.0,1.5,--
63805940964065,3.3,1.8,0.0,0.0,1.5,--
63805940965077,3.3,1.8,0.0,0.0,1.5,--
63805940966076,3.4,1.9,0.0,0.0,1.5,--
63805940967068,3.1,1.7,0.0,0.0,1.5,--
63805940968082,3.2,1.8,0.0,0.0,1.5,--
63805940969094,3.3,1.8,0.0,0.0,1.5,--
63805940970102,3.9,2.4,0.0,0.0,1.5,--
63805940971106,4.3,2.8,0.0,0.0,1.5,--
63805940972112,3.7,2.2,0.0,0.0,1.5,--
63805940973122,3.4,1.9,0.0,0.0,1.5,--
63805940974138,3.5,2.0,0.0,0.0,1.5,--
63805940975152,3.6,2.1,0.0,0.0,1.5,--
63805940976164,3.7,2.2,0.0,0.0,1.5,--
63805940977170,3.6,2.2,0.0,0.0,1.5,--
63805940978164,3.5,2.1,0.0,0.0,1.5,--
63805940979166,3.6,2.1,0.0,0.0,1.5,--
63805940980174,3.6,2.1,0.0,0.0,1.5,--
63805940981180,3.8,2.3,0.0,0.0,1.5,--
63805940982197,4.0,2.5,0.0,0.0,1.5,--
63805940983196,4.0,2.5,0.0,0.0,1.5,--
63805940984212,4.2,2.7,0.0,0.0,1.5,--
63805940985227,4.3,2.8,0.0,0.0,1.5,--
63805940986235,3.7,2.2,0.0,0.0,1.5,--
63805940987250,3.3,1.8,0.0,0.0,1.5,--
63805940988264,3.4,2.0,0.0,0.0,1.5,--
63805940989258,3.2,1.8,0.0,0.0,1.5,--
63805940990267,3.1,1.7,0.0,0.0,1.5,--
63805940991278,3.3,1.8,0.0,0.0,1.5,--
63805940992271,3.2,1.8,0.0,0.0,1.5,--
63805940993281,3.4,1.9,0.0,0.0,1.5,--
63805940994286,3.2,1.7,0.0,0.0,1.5,--
63805940995298,3.7,2.2,0.0,0.0,1.5,--
63805940996324,4.7,3.2,0.0,0.0,1.5,--
63805940997317,3.6,2.1,0.0,0.0,1.5,--
63805940998320,3.5,2.0,0.0,0.0,1.5,--
63805940999321,3.6,2.1,0.0,0.0,1.5,--
63805941000328,3.5,2.0,0.0,0.0,1.5,--
63805941001313,3.3,1.8,0.0,0.0,1.5,--
63805941002321,3.7,2.2,0.0,0.0,1.5,--
63805941003329,3.7,2.2,0.0,0.0,1.5,--
63805941004320,3.5,2.0,0.0,0.0,1.5,--
63805941005328,3.5,2.0,0.0,0.0,1.5,--
63805941006318,3.1,1.7,0.0,0.0,1.5,--
63805941007331,3.3,1.8,0.0,0.0,1.5,--
63805941008343,3.3,1.8,0.0,0.0,1.5,--
63805941009340,3.3,1.9,0.0,0.0,1.5,--
63805941010337,3.2,1.7,0.0,0.0,1.5,--
63805941011348,3.2,1.8,0.0,0.0,1.5,--
63805941012355,3.4,2.0,0.0,0.0,1.5,--
63805941013358,3.4,1.9,0.0,0.0,1.5,--
63805941014354,3.3,1.8,0.0,0.0,1.5,--
63805941015353,3.4,1.9,0.0,0.0,1.5,--
63805941016363,3.2,1.7,0.0,0.0,1.5,--
63805941017371,3.4,1.9,0.0,0.0,1.5,--
63805941018369,3.2,1.7,0.0,0.0,1.5,--
63805941019378,3.3,1.8,0.0,0.0,1.5,--
63805941020399,3.4,1.9,0.0,0.0,1.5,--
63805941021403,3.3,1.8,0.0,0.0,1.5,--
63805941022399,3.2,1.8,0.0,0.0,1.5,--
63805941023408,3.4,1.9,0.0,0.0,1.5,--
63805941024408,3.3,1.8,0.0,0.0,1.5,--
63805941025415,3.5,2.0,0.0,0.0,1.5,--
63805941026417,3.3,1.8,0.0,0.0,1.5,--
63805941027429,3.3,1.8,0.0,0.0,1.5,--
63805941028442,3.2,1.8,0.0,0.0,1.5,--
63805941029457,3.2,1.7,0.0,0.0,1.5,--
63805941030473,3.4,1.9,0.0,0.0,1.5,--
63805941031488,3.3,1.8,0.0,0.0,1.5,--
63805941032497,3.4,2.0,0.0,0.0,1.5,--
63805941033494,3.4,1.9,0.0,0.0,1.5,--
63805941034508,3.2,1.7,0.0,0.0,1.5,--
63805941035519,3.4,1.9,0.0,0.0,1.5,--
63805941036523,3.2,1.7,0.0,0.0,1.5,--
63805941037534,3.4,1.9,0.0,0.0,1.5,--
63805941038550,3.4,1.9,0.0,0.0,1.5,--
63805941039562,3.4,1.9,0.0,0.0,1.5,--
63805941040556,3.8,2.4,0.0,0.0,1.5,--
63805941041568,3.2,1.7,0.0,0.0,1.5,--
63805941042584,3.2,1.7,0.0,0.0,1.5,--
63805941043596,3.3,1.8,0.0,0.0,1.5,--
63805941044611,3.4,2.0,0.0,0.0,1.5,--
63805941045621,3.3,1.8,0.0,0.0,1.5,--
63805941046624,3.4,1.9,0.0,0.0,1.5,--
63805941047627,3.4,1.9,0.0,0.0,1.5,--
63805941048643,3.2,1.7,0.0,0.0,1.5,--
63805941049665,3.2,1.8,0.0,0.0,1.5,--
63805941050676,3.1,1.6,0.0,0.0,1.5,--
63805941051689,3.6,2.1,0.0,0.0,1.5,--
63805941052706,3.5,2.0,0.0,0.0,1.5,--
63805941053716,3.9,2.4,0.0,0.0,1.5,--
63805941054716,3.7,2.2,0.0,0.0,1.5,--
63805941055721,3.8,2.4,0.0,0.0,1.5,--
63805941056740,3.5,2.1,0.0,0.0,1.5,--
63805941057737,3.6,2.1,0.0,0.0,1.5,--
63805941058741,3.4,1.9,0.0,0.0,1.5,--
63805941059750,3.7,2.3,0.0,0.0,1.5,--
