TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63801051383888.00,3.9,2.4,0,0,1.5,--
63801051384892.00,3.5,2.1,0,0,1.5,--
63801051385903.00,4.4,2.9,0,0,1.5,--
63801051386908.00,3.7,2.2,0,0,1.5,--
63801051387912.00,3.5,2,0,0,1.5,--
63801051388910.00,3.5,2,0,0,1.5,--
63801051389918.00,3.7,2.3,0,0,1.5,--
63801051390932.00,3.6,2.1,0,0,1.5,--
63801051391944.00,4.6,3.1,0,0,1.5,--
63801051392948.00,3.7,2.2,0,0,1.5,--
63801051393954.00,3.4,1.9,0,0,1.5,--
63801051394975.00,3.3,1.9,0,0,1.5,--
63801051395978.00,3.2,1.7,0,0,1.5,--
63801051396969.00,4.4,2.9,0,0,1.5,--
63801051397983.00,3.6,2.1,0,0,1.5,--
63801051398994.00,3.5,2.1,0,0,1.5,--
63801051399992.00,3.4,1.9,0,0,1.5,--
63801051400993.00,3.7,2.3,0,0,1.5,--
63801051401992.00,4.7,3.2,0,0,1.5,--
63801051403005.00,3.8,2.3,0,0,1.5,--
63801051404028.00,3.7,2.2,0,0,1.5,--
63801051405058.00,3.8,2.3,0,0,1.5,--
63801051406058.00,3.5,2.1,0,0,1.5,--
63801051407069.00,4.5,3,0,0,1.5,--
63801051408074.00,3.8,2.3,0,0,1.5,--
63801051409081.00,3.3,1.9,0,0,1.5,--
63801051410101.00,3.6,2.1,0,0,1.5,--
63801051411106.00,3.6,2.1,0,0,1.5,--
63801051412122.00,3.6,2.1,0,0,1.5,--
63801051413129.00,4.5,3,0,0,1.5,--
63801051414145.00,3.2,1.7,0,0,1.5,--
63801051415155.00,3.2,1.7,0,0,1.5,--
63801051416162.00,3.4,1.9,0,0,1.5,--
63801051417177.00,3.5,2,0,0,1.5,--
63801051418194.00,5.5,4,0,0,1.5,--
63801051419190.00,3.4,2,0,0,1.5,--
63801051420193.00,3.4,1.9,0,0,1.5,--
63801051421204.00,3.1,1.6,0,0,1.5,--
63801051422221.00,3.1,1.6,0,0,1.5,--
63801051423234.00,4.2,2.7,0,0,1.5,--
63801051424242.00,4.3,2.8,0,0,1.5,--
63801051425232.00,3.2,1.7,0,0,1.5,--
63801051426242.00,3.2,1.8,0,0,1.5,--
63801051427253.00,3.2,1.7,0,0,1.5,--
63801051428277.00,3.8,2.3,0,0,1.5,--
63801051429289.00,4.6,3.1,0,0,1.5,--
63801051430305.00,3.5,2,0,0,1.5,--
63801051431299.00,3.6,2.1,0,0,1.5,--
63801051432316.00,3.6,2.1,0,0,1.5,--
63801051433322.00,4.2,2.8,0,0,1.5,--
63801051434332.00,5.4,3.9,0,0,1.5,--
63801051435347.00,4,2.5,0,0,1.5,--
63801051436345.00,4,2.5,0,0,1.5,--
63801051437366.00,3.7,2.2,0,0,1.5,--
63801051438384.00,3.3,1.9,0,0,1.5,--
63801051439396.00,4.4,2.9,0,0,1.5,--
63801051440394.00,3.6,2.1,0,0,1.5,--
63801051441409.00,3.5,2.1,0,0,1.5,--
63801051442418.00,3.7,2.2,0,0,1.5,--
63801051443422.00,3.7,2.2,0,0,1.5,--
63801051444445.00,3.4,1.9,0,0,1.5,--
63801051445452.00,3.7,2.3,0,0,1.5,--
63801051446458.00,3.4,2,0,0,1.5,--
63801051447463.00,3.2,1.8,0,0,1.5,--
63801051448479.00,3.4,1.9,0,0,1.5,--
63801051449479.00,3.2,1.7,0,0,1.5,--
63801051450469.00,4.3,2.9,0,0,1.5,--
63801051451485.00,3.3,1.8,0,0,1.5,--
63801051452501.00,3.5,2,0,0,1.5,--
63801051453511.00,3.4,1.9,0,0,1.5,--
63801051454521.00,3.3,1.8,0,0,1.5,--
63801051455535.00,3.9,2.4,0,0,1.5,--
63801051456541.00,3.3,1.8,0,0,1.5,--
63801051457557.00,3.5,2,0,0,1.5,--
63801051458558.00,3.3,1.8,0,0,1.5,--
63801051459548.00,3.3,1.8,0,0,1.5,--
63801051460561.00,4.4,3,0,0,1.5,--
63801051461586.00,3.3,1.8,0,0,1.5,--
63801051462599.00,3.3,1.9,0,0,1.5,--
63801051463598.00,3.2,1.7,0,0,1.5,--
63801051464607.00,3.3,1.8,0,0,1.5,--
63801051465614.00,3.2,1.7,0,0,1.5,--
63801051466625.00,4.2,2.7,0,0,1.5,--
63801051467637.00,3.4,1.9,0,0,1.5,--
63801051468641.00,3.3,1.8,0,0,1.5,--
63801051469652.00,3.7,2.3,0,0,1.5,--
63801051470677.00,4.3,2.8,0,0,1.5,--
63801051471692.00,4.8,3.3,0,0,1.5,--
63801051472698.00,3.5,2,0,0,1.5,--
63801051473708.00,3.4,1.9,0,0,1.5,--
63801051474710.00,4.2,2.7,0,0,1.5,--
63801051475713.00,3.6,2.1,0,0,1.5,--
63801051476716.00,4.8,3.3,0,0,1.5,--
63801051477726.00,3.8,2.4,0,0,1.5,--
63801051478722.00,3.9,2.4,0,0,1.5,--
63801051479728.00,3.5,2,0,0,1.5,--
63801051480726.00,3.7,2.2,0,0,1.5,--
63801051481738.00,3.4,2,0,0,1.5,--
63801051482740.00,4.5,3,0,0,1.5,--
63801051483739.00,3.3,1.8,0,0,1.5,--
63801051484745.00,3.9,2.4,0,0,1.5,--
63801051485760.00,3.7,2.2,0,0,1.5,--
63801051486771.00,3.8,2.3,0,0,1.5,--
63801051487774.00,4.7,3.2,0,0,1.5,--
63801051488778.00,3.4,2,0,0,1.5,--
63801051489805.00,3.2,1.8,0,0,1.5,--
63801051490812.00,3.3,1.8,0,0,1.5,--
63801051491816.00,3.2,1.7,0,0,1.5,--
63801051492811.00,4.4,2.9,0,0,1.5,--
63801051493828.00,3.3,1.8,0,0,1.5,--
63801051494843.00,3.3,1.8,0,0,1.5,--
63801051495856.00,3.4,1.9,0,0,1.5,--
63801051496863.00,3.1,1.6,0,0,1.5,--
63801051497875.00,3.7,2.2,0,0,1.5,--
63801051498881.00,3.8,2.3,0,0,1.5,--
63801051499894.00,3.5,2,0,0,1.5,--
63801051500909.00,3.5,2,0,0,1.5,--
63801051501919.00,3.6,2.2,0,0,1.5,--
63801051502943.00,3.3,1.9,0,0,1.5,--
63801051503945.00,4.2,2.7,0,0,1.5,--
63801051504949.00,3.4,1.9,0,0,1.5,--
63801051505957.00,3.1,1.6,0,0,1.5,--
63801051506966.00,3.3,1.8,0,0,1.5,--
63801051507993.00,3.2,1.7,0,0,1.5,--
63801051509003.00,4.1,2.6,0,0,1.5,--
63801051510016.00,3.2,1.7,0,0,1.5,--
63801051511029.00,3.3,1.8,0,0,1.5,--
63801051512047.00,3.3,1.8,0,0,1.5,--
63801051513067.00,3.5,2,0,0,1.5,--
63801051514061.00,4.8,3.4,0,0,1.5,--
63801051515077.00,4.7,3.2,0,0,1.5,--
63801051516096.00,3.4,1.9,0,0,1.5,--
63801051517096.00,3.4,1.9,0,0,1.5,--
63801051518105.00,3.3,1.9,0,0,1.5,--
