TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805888948999,2.2,0.7,0.0,0.0,1.5,--
63805888950003,2.8,1.3,0.0,0.0,1.5,--
63805888951016,2.3,0.8,0.0,0.0,1.5,--
63805888952017,2.3,0.8,0.0,0.0,1.5,--
63805888953020,2.1,0.7,0.0,0.0,1.5,--
63805888954020,2.0,0.5,0.0,0.0,1.5,--
63805888955023,2.4,0.9,0.0,0.0,1.5,--
63805888956036,3.7,1.9,0.0,0.3,1.5,--
63805888957054,2.4,0.9,0.0,0.0,1.5,--
63805888958050,2.3,0.8,0.0,0.0,1.5,--
63805888959080,2.3,0.8,0.0,0.0,1.5,--
63805888960093,2.1,0.6,0.0,0.0,1.5,--
63805888961107,3.6,2.1,0.0,0.0,1.5,--
63805888962122,2.2,0.8,0.0,0.0,1.5,--
63805888963123,2.2,0.7,0.0,0.0,1.5,--
63805888964133,2.0,0.5,0.0,0.0,1.5,--
63805888965158,2.4,0.9,0.0,0.0,1.5,--
63805888966172,3.0,1.6,0.0,0.0,1.5,--
63805888967184,2.2,0.8,0.0,0.0,1.5,--
63805888968203,2.0,0.6,0.0,0.0,1.5,--
63805888969194,2.3,0.8,0.0,0.0,1.5,--
63805888970217,2.3,0.8,0.0,0.0,1.5,--
63805888971233,3.1,1.6,0.0,0.0,1.5,--
63805888972251,2.1,0.6,0.0,0.0,1.5,--
63805888973269,2.1,0.6,0.0,0.0,1.5,--
63805888974271,3.0,1.5,0.0,0.0,1.5,--
63805888975271,1.8,0.3,0.0,0.0,1.5,--
63805888976286,2.6,1.1,0.0,0.0,1.5,--
63805888977305,2.1,0.6,0.0,0.0,1.5,--
